Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A474301,OWNER SUR,03/22/2021,CHULA,DOG,6 YEARS,LARGE,BRINDLE / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A474301&location=MONT,
A311649,FOSTER,06/01/2021,SCAMPI,CAT,14 YEARS,SMALL,GRAY,DOMESTIC MH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A311649&location=MONT,
A471336,OWNER SUR,12/28/2020,DYMO,DOG,2 YEARS,MED,WHITE / BLACK,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A471336&location=MONT,
A467605,RETURN,12/13/2020,*SUPERGIRL,DOG,5 YEARS,MED,GRAY,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A467605&location=MONT,
A472536,STRAY,01/30/2021,*KENNY CHATNEY,CAT,3 YEARS,MED,BRN TABBY / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A472536&location=MONT,"3200 KILKENNY ST, SILVER SPRING MD 20904"
A475325,STRAY,04/17/2021,*CINDER,OTHER,10 MONTHS,SMALL,WHITE / BLACK,RABBIT SH,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A475325&location=MONT,"7500 WEATHERBY DR, DERWOOD MD 20855"
A476566,STRAY,05/17/2021,*RABBIOLI,OTHER,1 YEAR 1 MONTH,SMALL,WHITE / BLACK,RABBIT SH,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A476566&location=MONT,"JUDSON RD AND PARKER, SILVER SPRING MD 20902"
A476734,TRANSFER,05/26/2021,PIGGY,DOG,11 MONTHS,MED,BRINDLE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A476734&location=MONT,
A476206,OWNER SUR,05/08/2021,SHELBY,DOG,3 YEARS,LARGE,WHITE / TAN,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A476206&location=MONT,
A475124,OWNER SUR,04/13/2021,*RUTILE,CAT,3 YEARS,MED,BLACK,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A475124&location=MONT,
